EmissionCap,CaptureRate,AbatementCost,Feasible,ETS_Price,ETS_Income,Tax_Income,Total_Abate_Cost,Funding_Gap,CarbonTax_Iron_and_steel,CarbonTax_Ammonia,CarbonTax_Cement,CarbonTax_Refinery,Abate_Cost
0.0,0.8,120,True,25.0000000000001,2858072836.44509,13528211425.84004,12132413269.728315,4253870992.556812,71.0,71.0,71.0,71.0,
0.0,0.9,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.9,10,True,9.000000000000007,1028906221.1202292,0.0,1011034439.1440264,17871781.976202607,0.0,0.0,0.0,0.0,
0.0,0.9,20,True,18.000000000000014,2057812442.2404585,0.0,2022068878.288053,35743563.952405214,0.0,0.0,0.0,0.0,
0.0,0.9,30,True,27.0,3086718663.3606844,0.0,3033103317.43208,53615345.92860508,0.0,0.0,0.0,0.0,
0.0,0.9,40,False,,8002603942.04622,13337673236.743702,,17296139422.213814,,,,,4044137756.576106
0.0,0.9,50,True,45.00000000000001,5144531105.601142,0.0,5055172195.720133,89358909.8810091,0.0,0.0,0.0,0.0,
0.0,0.9,60,False,,8002603942.04622,13337673236.743702,,15274070543.925762,,,,,6066206634.864159
0.0,0.9,70,True,63.0,7202343547.841599,0.0,7077241074.008185,125102473.83341312,0.0,0.0,0.0,0.0,
0.0,0.9,80,True,1.0000000000000535,114322913.45780928,13528211425.84004,8088275513.152212,5554258826.1456375,71.0,71.0,71.0,71.0,
0.0,0.9,90,True,10.00000000000002,1143229134.578034,13528211425.84004,9099309952.296238,5572130608.121836,71.0,71.0,71.0,71.0,
0.0,0.9,100,True,19.000000000000007,2172135355.698261,13528211425.84004,10110344391.440266,5590002390.098036,71.0,71.0,71.0,71.0,
0.0,0.9,110,True,28.000000000000064,3201041576.8184958,13528211425.84004,11121378830.584291,5607874172.074244,71.0,71.0,71.0,71.0,
0.0,0.9,120,True,36.99999999999999,4229947797.9387145,13528211425.84004,12132413269.728315,5625745954.050438,71.0,71.0,71.0,71.0,
0.0,1.0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,1.0,10,True,10.000000000000009,1143229134.5780325,0.0,1011034439.1440264,132194695.43400574,0.0,0.0,0.0,0.0,
0.0,1.0,20,True,20.00000000000001,2286458269.1560645,0.0,2022068878.288053,264389390.86801147,0.0,0.0,0.0,0.0,
0.0,1.0,30,True,30.00000000000002,3429687403.734097,0.0,3033103317.43208,396584086.3020177,0.0,0.0,0.0,0.0,
0.0,1.0,40,True,40.00000000000003,4572916538.312129,0.0,4044137756.576106,528778781.73602295,0.0,0.0,0.0,0.0,
0.0,1.0,50,True,50.00000000000004,5716145672.890162,0.0,5055172195.720133,660973477.1700296,0.0,0.0,0.0,0.0,
0.0,1.0,60,True,60.00000000000004,6859374807.468194,0.0,6066206634.864159,793168172.6040354,0.0,0.0,0.0,0.0,
0.0,1.0,70,True,70.0,8002603942.04622,0.0,7077241074.008185,925362868.0380344,0.0,0.0,0.0,0.0,
0.0,1.0,80,True,9.000000000000052,1028906221.1202344,13528211425.84004,8088275513.152212,6468842133.808062,71.0,71.0,71.0,71.0,
0.0,1.0,90,True,19.000000000000007,2172135355.698261,13528211425.84004,9099309952.296238,6601036829.242064,71.0,71.0,71.0,71.0,
0.0,1.0,100,True,29.000000000000075,3315364490.2763,13528211425.84004,10110344391.440266,6733231524.676075,71.0,71.0,71.0,71.0,
0.0,1.0,110,True,39.00000000000006,4458593624.854329,13528211425.84004,11121378830.584291,6865426220.110079,71.0,71.0,71.0,71.0,
0.0,1.0,120,True,49.000000000000064,5601822759.432362,13528211425.84004,12132413269.728315,6997620915.544083,71.0,71.0,71.0,71.0,
0.1,0.0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.0,10,True,0.0,0.0,0.0,1011034439.1440264,-1011034439.1440264,0.0,0.0,0.0,0.0,
0.1,0.0,20,True,0.0,0.0,0.0,2022068878.288053,-2022068878.288053,0.0,0.0,0.0,0.0,
0.1,0.0,30,True,0.0,0.0,0.0,3033103317.43208,-3033103317.43208,0.0,0.0,0.0,0.0,
0.1,0.0,40,True,0.0,0.0,0.0,4044137756.576106,-4044137756.576106,0.0,0.0,0.0,0.0,
0.1,0.0,50,True,0.0,0.0,0.0,5055172195.720133,-5055172195.720133,0.0,0.0,0.0,0.0,
0.1,0.0,60,True,0.0,0.0,0.0,6066206634.864159,-6066206634.864159,0.0,0.0,0.0,0.0,
0.1,0.0,70,True,0.0,0.0,0.0,7077241074.008185,-7077241074.008185,0.0,0.0,0.0,0.0,
0.1,0.0,80,True,0.0,0.0,0.0,8088275513.152212,-8088275513.152212,0.0,0.0,0.0,0.0,
0.1,0.0,90,True,0.0,0.0,0.0,9099309952.296238,-9099309952.296238,0.0,0.0,0.0,0.0,
0.1,0.0,100,True,0.0,0.0,0.0,10110344391.440266,-10110344391.440266,0.0,0.0,0.0,0.0,
0.1,0.0,110,True,0.0,0.0,0.0,11121378830.584291,-11121378830.584291,0.0,0.0,0.0,0.0,
0.1,0.0,120,True,0.0,0.0,0.0,12132413269.728315,-12132413269.728315,0.0,0.0,0.0,0.0,
0.1,0.1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.1,10,True,1.1111111111111112,127025459.39755906,0.0,1011034439.1440264,-884008979.7464675,0.0,0.0,0.0,0.0,
0.1,0.1,20,True,2.2222222222222223,254050918.7951181,0.0,2022068878.288053,-1768017959.492935,0.0,0.0,0.0,0.0,
0.1,0.1,30,True,3.333333333333337,381076378.1926776,0.0,3033103317.43208,-2652026939.239402,0.0,0.0,0.0,0.0,
0.1,0.1,40,True,4.444444444444445,508101837.59023625,0.0,4044137756.576106,-3536035918.98587,0.0,0.0,0.0,0.0,
